0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,celltype,batch
-0.9999986,-0.5804342,0.7807027,1.0,0.99999917,0.997512,0.6463565,0.76529783,0.96416295,0.71748847,0.9337391,0.999558,-0.9464907,-0.8546214,0.9692853,0.82616526,0.6458619,0.99999344,-0.820183,0.82204074,-0.86574876,0.7200954,0.6600217,-1.0,0.9920518,0.916039,-0.034738895,-0.7263663,0.89352584,-0.51411957,-0.7447952,0.8753629,gamma,celseq
-0.99999136,-0.5997566,0.7114861,0.9999938,0.99998945,0.9991931,0.30887002,0.7735116,0.9160034,0.7459927,0.87752736,0.998763,-0.77536994,-0.6258334,0.9010344,0.66325414,0.711996,0.99997574,-0.8039118,0.8074209,-0.87261736,0.85124713,0.53701055,-1.0,0.9666844,0.6115961,-0.6417753,-0.5927111,0.83552325,-0.55795795,-0.706531,0.9801559,gamma,celseq
-0.9999513,-0.23957336,0.65493876,0.9999827,0.99999946,0.99441993,0.34304422,0.82899946,0.92098606,0.69913816,0.9591738,0.9975225,-0.92833936,-0.65898436,0.96723187,0.79111177,0.64039844,0.99997544,-0.7942275,0.75311,-0.8837565,0.6216395,0.42304313,-0.99999744,0.95419747,0.8000305,0.077854976,-0.40218318,0.74760747,-0.15705943,-0.6595691,0.9327181,gamma,celseq
-0.99999964,-0.1993186,0.67038393,0.99999493,0.9999995,0.9998713,0.295096,0.89447904,0.901843,0.40794945,0.95130724,0.99957466,-0.9660002,-0.70257586,0.95840853,0.55061054,0.3515184,0.9998725,-0.6711257,0.58563405,-0.96117324,0.72149026,0.34456915,-1.0,0.9779755,0.88078797,0.3402769,-0.16102326,0.8524174,-0.06818372,-0.043207232,0.9886116,gamma,celseq
-0.99999785,-0.01990185,0.22606395,0.99999964,1.0,0.98886603,0.24051797,0.7010448,0.9699942,0.6382269,0.70861393,0.9984747,-0.9338066,-0.7326721,0.9808642,0.9595022,-0.010529873,0.99999946,-0.16461575,0.8647583,-0.927307,0.79877985,0.4261737,-1.0,0.971247,0.768465,-0.49355057,-0.5863041,0.5629017,-0.36102274,0.2993245,0.71509564,gamma,celseq
-0.9999943,-0.6065116,0.8240765,0.99999803,1.0,0.99948204,0.6864854,0.76758194,0.98830694,0.64684814,0.6811155,0.9994578,-0.7126246,-0.5811341,0.9727235,0.7162994,0.9020353,0.99999255,-0.85583365,0.5066464,-0.8267204,0.6541717,0.8379671,-1.0,0.98707795,0.6521009,-0.47501576,-0.4854023,0.8922484,-0.62840164,-0.45365036,0.961291,gamma,celseq
-1.0,-0.91609204,0.45118317,0.9999993,1.0,0.99974287,0.8113812,0.67622375,0.946896,0.8630776,0.86633515,0.99990904,-0.9323544,-0.12244856,0.99374926,0.81478345,0.8381867,0.99999845,-0.59404993,0.75987315,-0.9754392,0.9538936,0.9280045,-1.0,0.94709426,0.50634867,-0.8569439,-0.9742338,0.47748342,-0.92015773,-0.9321182,0.9829041,gamma,celseq
-1.0,-0.57891846,0.73266953,1.0,0.9999994,0.99971026,0.3592526,0.8936056,0.9581133,0.8457928,0.947144,0.9999159,-0.9650307,-0.4019614,0.9938202,0.67747194,0.75095767,0.99996346,-0.90317374,0.5592584,-0.94318104,0.8047883,0.87222725,-1.0,0.9877922,0.729413,-0.3738696,-0.6841675,0.8935226,-0.63426816,-0.80997723,0.961166,gamma,celseq
-0.99999774,-0.53856045,0.68326384,0.99999416,0.999997,0.99878466,0.13483214,0.84367865,0.9830774,0.7700065,0.89608985,0.99970716,-0.9340229,-0.731866,0.9906192,0.64748573,0.6066088,0.9999534,-0.7934968,0.60666,-0.945601,0.8245212,0.6522719,-1.0,0.98642504,0.84466934,-0.2041349,-0.654157,0.83656037,-0.233256,-0.6534612,0.97389567,gamma,celseq
-1.0,-0.7110181,0.44907945,1.0,0.99999964,0.99917364,0.39261693,0.88457173,0.94264245,0.8931181,0.9398089,0.99996954,-0.95014536,-0.3814887,0.99614817,0.87085545,0.61544967,0.9999992,-0.47296023,0.52232605,-0.9144159,0.89091533,0.89948183,-1.0,0.98262304,0.426046,-0.85218316,-0.9089882,0.75736535,-0.8160757,-0.91220456,0.99137264,gamma,celseq
-0.9999986,-0.47989732,0.10157678,1.0,1.0,0.9998937,0.30098474,0.7213447,0.9699355,0.79849136,0.95915675,0.9998519,-0.9487706,-0.44731453,0.9821127,0.73027873,0.3340565,0.99999964,-0.68053174,0.71504486,-0.93728507,0.9016931,0.7348003,-1.0,0.9665714,0.76529455,-0.57740176,-0.51022446,0.7291409,-0.45899042,-0.28495967,0.9708075,gamma,celseq
-1.0,-0.73160094,0.5127841,0.9999995,0.9999979,0.9992191,0.8687625,0.8312412,0.83395183,0.7233105,0.9747458,0.9993556,-0.9574444,-0.34181863,0.93763876,0.9001082,0.8589573,0.999951,-0.7887393,0.6564751,-0.65895766,0.7344618,0.9613103,-1.0,0.9008349,0.82452685,-0.65334344,-0.6475303,0.62926596,-0.7640505,-0.923265,0.9048439,gamma,celseq
-0.9996507,-0.73645425,0.18022753,0.9999939,0.9999967,0.9936829,0.5913942,0.5289225,0.73699003,0.9783119,0.94771296,0.9819873,-0.956715,-0.4651977,0.97494876,0.9770621,0.67085904,0.999937,-0.71878636,0.95747405,-0.95568764,0.9555801,0.8489868,-1.0,0.6997794,0.8050907,-0.797514,-0.96879375,0.4445459,-0.86537415,-0.9600664,0.88956004,gamma,celseq
-0.999999,-0.83038294,0.51585317,1.0,1.0,0.99975765,0.6646696,0.69169307,0.9944261,0.8404827,0.9399047,0.99961525,-0.9814731,-0.56461304,0.9769288,0.8612993,0.84120077,0.9999888,-0.7254942,0.80192655,-0.96169394,0.750311,0.9248323,-1.0,0.970605,0.5830942,-0.69238734,-0.68904144,0.8461783,-0.88338035,-0.7807783,0.9688442,gamma,celseq
-0.9999997,-0.7578057,0.5440846,0.9999996,0.9999988,0.9996562,0.65642893,0.8387327,0.9362994,0.85833365,0.876209,0.9995516,-0.9271688,-0.44641516,0.8273023,0.86525494,0.8941986,0.99997306,-0.8815971,0.8573538,-0.9245312,0.6750519,0.88548166,-1.0,0.98067844,0.84773177,-0.620782,-0.54663634,0.8418675,-0.8018531,-0.8757478,0.8457064,gamma,celseq
-0.99998003,-0.8041607,0.3367416,0.9999933,0.9999974,0.9990395,0.6371446,0.74581647,0.94238824,0.76640075,0.8143545,0.9994101,-0.9616119,-0.21514824,0.89396197,0.68073004,0.7564489,0.9999907,-0.62551916,0.53030246,-0.888678,0.7609044,0.9421272,-1.0,0.86469847,0.47807574,-0.75788355,-0.7331503,0.6173423,-0.86383486,-0.7300331,0.85634255,gamma,celseq
-0.9999987,-0.9749983,0.34487152,0.99999964,1.0,0.9999805,0.9183507,0.48218358,0.9906475,0.84230137,0.795239,0.99999094,-0.9103056,-0.39752164,0.99638516,0.8429215,0.9172876,0.9999994,-0.8191286,0.8784097,-0.9751241,0.91252226,0.9666957,-0.9999994,0.83847684,0.8185926,-0.75976753,-0.87753254,0.52756304,-0.9652865,-0.951115,0.98814666,gamma,celseq
-0.99999696,-0.28709978,0.3717547,0.9999994,0.9999998,0.99632186,-0.08662486,0.8830989,0.9760437,0.8771877,0.8984528,0.99960864,-0.9644296,-0.58923537,0.97922564,0.9265142,-0.018930476,0.99997336,-0.7852887,0.90919906,-0.960021,0.78532964,0.13950522,-1.0,0.9732115,0.8887327,-0.32097533,-0.39976537,0.7814867,-0.33067083,-0.41166022,0.93907636,gamma,celseq
